quaternary,reserve_study,available__gra2_m3_a,recharge__gwr_m3_a,reserve__gwr_m3_a,abstracted__warms_m3_a,surplus__gra2_m3_a,surplus__gwr_m3_a
F30B,0,49 318,Unknown,Unknown,16 000,33 318,Unknown
F30C,0,691 624,Unknown,Unknown,14 600,677 024,Unknown
F30D,1,257 697,2 370 000,122 000,1 026 032,- 768 335,1 221 968
F30E,0,282 144,Unknown,Unknown,178 530,103 614,Unknown
F30F,1,262,30 000,60 000,35 000,-34 738,-65 000
F30G,1,12 138,350 000,80 000,158 935,- 146 797,111 065
F40A,1,168 061,1 970 000,15 000,452 000,- 283 939,1 503 000
F40B,0,21 224,Unknown,Unknown,0,21 224,Unknown
F40C,0,139 111,Unknown,Unknown,0,139 111,Unknown
F40D,1,123 490,960 000,4 000,0,123 490,956 000
F40E,0,459 140,Unknown,Unknown,0,459 140,Unknown
F40F,1,87 814,710 000,11 000,0,87 814,699 000
F40G,0,131 665,Unknown,Unknown,0,131 665,Unknown
F40H,0,82 834,Unknown,Unknown,0,82 834,Unknown
F50A,0,366 670,Unknown,Unknown,0,366 670,Unknown
F50B,0,387 501,Unknown,Unknown,22 700,364 801,Unknown
F50C,0,306 765,Unknown,Unknown,3 000,303 765,Unknown
F50E,0,412 360,Unknown,Unknown,0,412 360,Unknown
F50F,0,245 366,Unknown,Unknown,0,245 366,Unknown
F50G,0,98 268,Unknown,Unknown,129 292,-31 024,Unknown
F60A,1,59 983,430 000,20 000,0,59 983,410 000
T40A,1,6 994 980,16 030 000,18 370 000,40 000,6 954 980,-2 380 000
T40B,1,8 741 530,26 670 000,10 040 000,308 477,8 433 053,16 321 523
T40C,1,6 545 770,17 400 000,36 020 000,11 038,6 534 732,-18 631 038
T40D,1,9 850 510,19 250 000,9 100 000,4 964 793,4 885 717,5 185 207
T40E,1,11 080 500,24 960 000,72 570 000,0,11 080 500,-47 610 000
T40F,1,10 100 700,25 670 000,9 700 000,591 781,9 508 919,15 378 219
T40G,1,8 560 420,18 150 000,8 620 000,90 962 126,-82 401 706,-81 432 126
T51A,1,11 927 000,10 160 000,48 920 000,4 240,11 922 760,-38 764 240
T51B,1,7 509 350,12 550 000,28 110 000,7 300,7 502 050,-15 567 300
T51C,1,11 787 500,33 610 000,72 110 000,41 145,11 746 355,-38 541 145
T51D,1,5 167 600,8 670 000,13 780 000,0,5 167 600,-5 110 000
T51E,1,6 587 100,16 190 000,25 260 000,0,6 587 100,-9 070 000
T51F,1,9 542 900,13 640 000,21 550 000,1 080,9 541 820,-7 911 080
T51G,1,8 000 550,23 380 000,10 620 000,34 960,7 965 590,12 725 040
T51H,1,13 418 300,27 630 000,15 750 000,0,13 418 300,11 880 000
T51J,1,5 831 410,14 550 000,7 400 000,0,5 831 410,7 150 000
T52A,1,9 306 790,20 600 000,10 950 000,282 790,9 024 000,9 367 210
T52B,1,5 823 510,14 710 000,13 870 000,0,5 823 510,840 000
T52C,1,5 056 220,11 070 000,5 970 000,37 460,5 018 760,5 062 540
T52D,1,6 259 840,21 600 000,132 110 000,107 582,6 152 258,- 110 617 582
T52E,1,5 682 650,13 990 000,6 120 000,0,5 682 650,7 870 000
T52F,1,10 086 100,25 040 000,25 940 000,3 480,10 082 620,- 903 480
T52G,1,5 358 160,14 470 000,72 950 000,15 500,5 342 660,-58 495 500
T52H,1,5 718 730,14 990 000,4 130 000,38 900,5 679 830,10 821 100
T52J,1,6 081 900,19 880 000,8 700 000,8 000,6 073 900,11 172 000
T52K,1,8 555 000,19 610 000,2 750 000,194 358,8 360 642,16 665 642
T52L,1,1 697 790,10 280 000,6 710 000,73 328,1 624 462,3 496 672
T52M,1,4 727 070,15 050 000,309 090 000,23 265,4 703 805,- 294 063 265
U10A,1,14 777 600,16 200 000,74 130 000,3 285,14 774 315,-57 933 285
U10B,1,11 596 400,14 700 000,58 940 000,60 494,11 535 906,-44 300 494
U10C,1,6 764 960,14 790 000,21 700 000,0,6 764 960,-6 910 000
U10D,1,8 417 640,26 920 000,16 090 000,4 284,8 413 356,10 825 716
U10E,1,9 036 080,17 590 000,143 140 000,183,9 035 897,- 125 550 183
U10F,1,8 008 310,21 120 000,28 560 000,336 999,7 671 311,-7 776 999
U10G,1,7 801 030,26 300 000,18 640 000,30 325,7 770 705,7 629 675
U10H,1,9 425 710,23 170 000,188 000 000,1 800,9 423 910,- 164 831 800
U10J,1,7 736 500,22 870 000,216 290 000,20 743,7 715 757,- 193 440 743
U10K,1,2 910 980,14 820 000,9 540 000,727 684,2 183 296,4 552 316
U10L,1,1 816 710,10 050 000,7 180 000,325 435,1 491 275,2 544 565
