"'DateTime","'High","'Moderately High","'Normal","'Moderately Low","'Low","'Very Low","'2018/2019","'2019/2020"
"'2018-09-12 00:00:00",,,,,,,67.13690378439672,77.39312031180827
"'2018-09-15 00:00:00",93.7,85.88250000000001,82.89,76.666,69.77000000000001,63.3
"'2018-09-19 00:00:00",,,,,,,66.45685255732604,76.86861105578095
"'2018-09-26 00:00:00",,,,,,,65.55675720903629,76.2890595486598
"'2018-10-03 00:00:00",,,,,,,65.05847341581034,75.76673574786591
"'2018-10-10 00:00:00",,,,,,,64.88469850396224,74.98752729477482
"'2018-10-15 00:00:00",90.99,84.33,80.598,74.02,66.44,61.05799999999999
"'2018-10-17 00:00:00",,,,,,,64.96487349024069,74.30176266330815
"'2018-10-24 00:00:00",,,,,,,64.35357044065645,73.63463684290387
"'2018-10-31 00:00:00",,,,,,,63.504989394297965,72.83791352715615
"'2018-11-07 00:00:00",,,,,,,62.676483315298135,71.73104289299324
"'2018-11-14 00:00:00",,,,,,,61.70005313778297,70.78046352881086
"'2018-11-15 00:00:00",97.01,84.6475,78.712,73.44,62.957499999999996,58.688
"'2018-11-21 00:00:00",,,,,,,61.27716755011093,69.6713449978364
"'2018-11-28 00:00:00",,,,,,,60.893932364531445,68.69319767692353
"'2018-12-05 00:00:00",,,,,,,60.6310533207368,67.70843154873222
"'2018-12-12 00:00:00",,,,,,,60.89833449578739,66.91311316849173
"'2018-12-15 00:00:00",98.3,83.7,81.10799999999999,76.45,60.36,58.099999999999994
"'2018-12-19 00:00:00",,,,,,,61.02696414667028,66.20824141412692
"'2018-12-26 00:00:00",,,,,,,60.99259005792705,65.46690377815256
"'2019-01-02 00:00:00",,,,,,,60.887750648299686,64.8773303977466
"'2019-01-09 00:00:00",,,,,,,60.53214586102877,64.74589087584928
"'2019-01-15 00:00:00",97.4,86.05999999999999,83.52000000000001,77.9,60.2025,56.242000000000004
"'2019-01-16 00:00:00",,,,,,,60.30723129671801,64.60901893665739
"'2019-01-23 00:00:00",,,,,,,59.658026209228,63.95200865190507
"'2019-01-30 00:00:00",,,,,,,59.528584817829824,63.32369027228899
