model_name,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,param_model__learning_rate,param_model__l2_regularization,param_model__max_iter,param_model__max_leaf_nodes
Random Forest,0.5826966762542725,0.005897264099821563,0.07658839225769043,0.009254425836514963,,"{'model__max_depth': 8, 'model__max_features': 0.7, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",-11.167361497121323,-11.426884801391504,-10.704651939832823,-20.532061875710447,-9.865734745560577,-12.739338971923335,3.9323715987827685,11,8,0.7,2.0,200.0,,,,
Random Forest,1.157961893081665,0.022931814286878953,0.11531352996826172,0.006340995025288306,,"{'model__max_depth': 8, 'model__max_features': 0.7, 'model__min_samples_leaf': 2, 'model__n_estimators': 400}",-11.307433858581486,-11.491282421226444,-10.640428723138017,-20.629628905317478,-9.99403304391925,-12.812561390436533,3.9441093772434535,14,8,0.7,2.0,400.0,,,,
Random Forest,0.5602068424224853,0.013964098128057842,0.07332305908203125,0.008817138973147468,,"{'model__max_depth': 8, 'model__max_features': 0.7, 'model__min_samples_leaf': 4, 'model__n_estimators': 200}",-9.858162948008227,-12.137870495499822,-10.51882108239539,-20.426183666206175,-9.877573350188495,-12.563722308459623,4.017877974054592,3,8,0.7,4.0,200.0,,,,
Random Forest,1.5898242473602295,0.5605747396671193,0.1635082721710205,0.01968810943850661,,"{'model__max_depth': 8, 'model__max_features': 0.7, 'model__min_samples_leaf': 4, 'model__n_estimators': 400}",-9.982490068618349,-12.195595340517167,-10.409686537203484,-20.500593004479647,-10.039308738419306,-12.625534737847591,4.019592613193143,6,8,0.7,4.0,400.0,,,,
Gradient Boosting,0.14189863204956055,0.005358225183041371,0.013022279739379883,0.0011557215790273633,,"{'model__learning_rate': 0.03, 'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",-10.2376146431502,-12.988881878403193,-10.425830672865821,-20.739222343102504,-10.951889749579815,-13.068687857420306,3.9578775160985655,9,1,,1.0,100.0,0.03,,,
Gradient Boosting,0.2560235023498535,0.003989852155893224,0.012958383560180664,9.906590052135283e-05,,"{'model__learning_rate': 0.03, 'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",-9.523372655140534,-12.431882505970268,-9.752504571783229,-20.965383532479628,-10.40506115910952,-12.615640884896637,4.298797610936818,4,1,,1.0,200.0,0.03,,,
Gradient Boosting,0.14361982345581054,0.014335344553182423,0.01282515525817871,0.0003474454443540503,,"{'model__learning_rate': 0.03, 'model__max_depth': 1, 'model__min_samples_leaf': 2, 'model__n_estimators': 100}",-10.76396146753545,-14.105516709759346,-10.361363486933177,-20.72132412881868,-10.849157987470809,-13.360264756103494,3.9186847884207117,22,1,,2.0,100.0,0.03,,,
Gradient Boosting,0.2572330474853516,0.014750594630972233,0.013411140441894532,0.0005946606089277386,,"{'model__learning_rate': 0.03, 'model__max_depth': 1, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",-11.434320592270998,-13.934650659683383,-10.299114867916241,-20.497821991528284,-10.143510034037531,-13.261883629087288,3.864030505224153,15,1,,2.0,200.0,0.03,,,
Gradient Boosting,0.16314325332641602,0.0029045765610672745,0.013649511337280273,0.002374043298352387,,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",-9.968009175311382,-12.875509893409326,-9.77435245312754,-20.71601754450404,-11.078508166376393,-12.882479446545736,4.068741094137955,6,2,,1.0,100.0,0.03,,,
Gradient Boosting,0.3270392417907715,0.01796245089126574,0.013054084777832032,0.0007567015297090953,,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",-10.24148343494142,-12.80742540379616,-9.554711804822132,-20.947128412709205,-11.474037286373814,-13.004957268528546,4.123149250307309,8,2,,1.0,200.0,0.03,,,
