stage,file,rows,columns,column_names
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/Residential_Tariffs__2026_04_21_engineered.csv,11.0,7.0,"region, time_frame, unnamed__2, tariff_0_6kl__incl_vat, tariff_6_20kl__incl_vat, tariff_20_60kl__incl_vat, tariff__60kl__incl_vat"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/Source_of_Water_Households___2026_04_21_engineered.csv,10.0,13.0,"region, time_frame, unnamed__2, regional_local_water_scheme__operated_by_municipality_or_other_w, borehole, spring, rain_water_tank, dam_pool_stagnant_water, river_stream, water_vendor, water_tanker, other, not_applicable"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/Surface_Water_Storage__2014-2020__engineered.csv,374.0,25.0,"datetime, high, moderately_high, normal, moderately_low, low, very_low, 2018_2019, 2019_2020, high_change, high_pct_change, moderately_high_change, moderately_high_pct_change, normal_change, normal_pct_change, moderately_low_change, moderately_low_pct_change, low_change, low_pct_change, very_low_change, very_low_pct_change, 2018_2019_change, 2018_2019_pct_change, 2019_2020_change, 2019_2020_pct_change"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/Surface_Water_Storage___2020_-2026__engineered.csv,375.0,25.0,"datetime, high, moderately_high, normal, moderately_low, low, very_low, 2024_2025, 2025_2026, high_change, high_pct_change, moderately_high_change, moderately_high_pct_change, normal_change, normal_pct_change, moderately_low_change, moderately_low_pct_change, low_change, low_pct_change, very_low_change, very_low_pct_change, 2024_2025_change, 2024_2025_pct_change, 2025_2026_change, 2025_2026_pct_change"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/TimeSeries_Population__2026_04_21_engineered.csv,11.0,35.0,"region, time_frame, unnamed__2, april_1994, april_1995, april_1996, april_1997, april_1998, april_1999, april_2000, april_2001, april_2002, april_2004, april_2005, april_2006, april_2007, april_2008, april_2009, april_2010, april_2011, april_2012, april_2013, april_2014, april_2015, april_2016, april_2017, april_2018, april_2019, april_2020, april_2021, april_2022, april_2023, april_2024, april_2025, april_2026"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/Timeseries_Households__2026_04_21_engineered.csv,11.0,35.0,"region, time_frame, unnamed__2, april_1994, april_1995, april_1996, april_1997, april_1998, april_1999, april_2000, april_2001, april_2002, april_2004, april_2005, april_2006, april_2007, april_2008, april_2009, april_2010, april_2011, april_2012, april_2013, april_2014, april_2015, april_2016, april_2017, april_2018, april_2019, april_2020, april_2021, april_2022, april_2023, april_2024, april_2025, april_2026"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/Total_Households__2026_04_21_engineered.csv,11.0,10.0,"region, time_frame, unnamed__2, total_households, total_population, hh_density, urban_households, rural_households, hh_density_change, hh_density_pct_change"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/Total_Population__2026_04_21_engineered.csv,11.0,10.0,"region, time_frame, unnamed__2, total_population, total_households, hh_density, urban_population, rural_population, hh_density_change, hh_density_pct_change"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/Verified_-_River_Flow___National___engineered.csv,7.0,4.0,"flow, flow_level, flow_level_change, flow_level_pct_change"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/Vulnerability_Score_Per_leg__2026_04_21_engineered.csv,11.0,21.0,"region, time_frame, unnamed__2, 1__water_services_planning, 4__technical_staff_capacity__numbers, 6__water_conservation___water_demand_management__wc_wdm, 7__drinking_water_safety___regulatory_compliance, 10__infrastructure_asset_management__iam, 11__operation___maintenance__o_m__of_assets, 1__water_services_planning_change, 1__water_services_planning_pct_change, 4__technical_staff_capacity__numbers_change, 4__technical_staff_capacity__numbers_pct_change, 6__water_conservation___water_demand_management__wc_wdm_change, 6__water_conservation___water_demand_management__wc_wdm_pct_change, 7__drinking_water_safety___regulatory_compliance_change, 7__drinking_water_safety___regulatory_compliance_pct_change, 10__infrastructure_asset_management__iam_change, 10__infrastructure_asset_management__iam_pct_change, 11__operation___maintenance__o_m__of_assets_change, 11__operation___maintenance__o_m__of_assets_pct_change"
